run,label,hbf_bytes,ota_cmd,timestamp,sr_file
run01,VCP_9600,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T05:00:16+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run01.sr
run02,VCP_9600,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T05:01:07+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run02.sr
run03,VCP_9600,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T05:01:57+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run03.sr
run04,VCP_9600,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T05:02:47+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run04.sr
run05,VCP_9600,9360,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T05:03:38+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run05.sr
run01,VCP_9600,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T21:56:12+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run01.sr
run02,VCP_9600,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T21:57:01+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run02.sr
run03,VCP_9600,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T21:57:51+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run03.sr
run04,VCP_9600,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T21:58:41+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run04.sr
run05,VCP_9600,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-28T21:59:33+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600/run05.sr
