run,label,hbf_bytes,ota_cmd,timestamp,sr_file
run01,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:03:54+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run01.sr
run02,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:04:45+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run02.sr
run03,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:05:30+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run03.sr
run04,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:06:17+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run04.sr
run05,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:07:02+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run05.sr
run01,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:09:49+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run01.sr
run02,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:10:37+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run02.sr
run03,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:11:26+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run03.sr
run04,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:12:15+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run04.sr
run05,VCP_9600_final,9424,"./toolchain/modules/update_tool/update-tool-mqtt -i 127.0.0.1 -p 1883 -t bthermo_vcp -v true flash-component -f /home/rushnan-reaz/concept-os/components/bthermo/core/bthermo.hbf",2026-07-29T02:13:03+06:00,/home/rushnan-reaz/concept-os/analysis/output/ConceptOS/VCP_9600_final/run05.sr
